reserved;subsystem;subsystemShort;value;simulation;ptrCodeTab;numCodes;numCodesValue
##FileRevision;;;;;;;278
##ModuleRevision;;;;;;;0x000600
;AnalogInput;AI;aiAlarmSimulationDescriptor;aiAlarmSimulation;_AI_DIAGNOSIS_ALARM_TABLE;sizeof(_AI_DIAGNOSIS_ALARM_TABLE);3
;Coordinator;CDT;coodinatorAlarmSimulationDescriptor;coodinatorAlarmSimulation;_CDT_DIAGNOSIS_ALARM_TABLE;sizeof(_CDT_DIAGNOSIS_ALARM_TABLE);25
;DigitalOutput;DIGITALOUTPUT;alarmSimulation_DODescriptor;alarmSimulation_DO;DO_ALARM;DO_ALARM_SIZE;1
;ElettronicServices;ElettronicServices;electronicServicesAlarmSimulationDescriptor;electronicServicesAlarmSimulation;ElectronicServicesDiagnosisEnumTable;ALARM_CODES;4
;FrontEndInterface;FE;frontendAlarmSimulationDescriptor;frontendAlarmSimulation;_FE_DIAGNOSIS_ALARM_TABLE;FE_DIAG_ALARM_SIZE;1
;Mapper;Mapper;mapperAlarmSimulationDescriptor;mapperAlarmSimulation;_MAPPER_DIAGNOSIS_ALARM_TABLE;sizeof(_MAPPER_DIAGNOSIS_ALARM_TABLE);3
;MVMeasurement;MVM;mvmAlarmSimulationDescriptor;mvmAlarmSimulation;_MVM_DIAGNOSIS_ALARM_TABLE;sizeof(_MVM_DIAGNOSIS_ALARM_TABLE);5
;SVMeasurement;SVM;svmAlarmSimulationDescriptor;svmAlarmSimulation;_SVM_DIAGNOSIS_ALARM_TABLE;sizeof(_SVM_DIAGNOSIS_ALARM_TABLE);5
;Totalizer;Totalizer;totDiagnosisSimulationDescriptor;totDiagnosisSimulation;E_TOT_ALARM;TOT_ALARM_CODES;1
